Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
154.0839,C00123,M+Na[1+],157.2,2.35332299780566e-05,EC000121
86.0965,C00123,M-HCOOH+H[1+],156.3,2.35332300064783e-05,EC000121
88.11213,C00123,M-CO2+H[1+],145,5.3533229987579e-05,EC000121
96.0808,C00123,M-H4O2+H[1+],148.3,0.000123533229981376,EC000121
179.056,C00124,M-H[-],50.1,0.000123533229981376,EC00033
203.0526,C00124,M+Na[1+],171.9,7.64667699968413e-05,EC00034
220.0823,C00124,M+ACN-H[-],53.5,0.000368533229988088,EC00033
89.0245,C00124,M-2H[2-],180.3,7.64667699968413e-05,EC00035
89.02458,C00124,M-2H[2-],50.3,0.000156466769993813,EC00033
305.068,C00127,M-2H[2-],147.3,0.000723533230029716,EC000123
613.1612,C00127,M+H[1+],211.7,0.00192353322995586,EC000124
226.9869,C00129,M-H2O-H[-],58.3,0.00102353322998283,EC000125
513.9885,C00131,M+Na[1+],79.8,0.00157646676996137,EC000126
88.0404,C00133,M-H[-],52.6,2.35332300064783e-05,EC00039
88.04041,C00133,M-H[-],155.1,1.35332300175151e-05,EC00040
90.055,C00133,M+H[1+],178.9,2.35332300064783e-05,EC00041
91.0583,C00133,M(C13)+H[1+],179.2,7.64667699968413e-05,EC00041
110.0713,C00135,M-HCOOH+H[1+],197.6,7.64667699968413e-05,EC000127
112.0869,C00135,M-CO2+H[1+],189.5,7.64667699968413e-05,EC000128
136.0518,C00135,M-H2O-H[-],177,0.000176466770000161,EC000129
136.0519,C00135,M-H2O-H[-],49.5,0.000276466770003481,EC000130
138.0662,C00135,M-H2O+H[1+],187.4,2.35332300064783e-05,EC000128
154.0624,C00135,M-H[-],50.1,0.000176466770000161,EC000130
154.0625,C00135,M-H[-],180.2,0.000276466770003481,EC000129
155.0655,C00135,M(C13)-H[-],54.1,0.000123533230009798,EC000130
155.0689,C00135,M[1+],163.6,0.000599999999991496,EC000131
156.0765,C00135,M+H[1+],166.4,0.000276466770003481,EC000131
156.0767,C00135,M+H[1+],197.5,7.6466770025263e-05,EC000127
157.0801,C00135,M(C13)+H[1+],197.4,7.6466770025263e-05,EC000127
178.0587,C00135,M+Na[1+],197.5,7.6466770025263e-05,EC000127
161.0455,C00137,M-H2O-H[-],101.1,2.35332299780566e-05,EC00031
163.0601,C00137,M-H2O+H[1+],193.7,2.35332300064783e-05,EC00032
179.056,C00137,M-H[-],50.1,0.000123533229981376,EC00033
203.0526,C00137,M+Na[1+],171.9,7.64667699968413e-05,EC00034
220.0823,C00137,M+ACN-H[-],53.5,0.000368533229988088,EC00033
89.0245,C00137,M-2H[2-],180.3,7.64667699968413e-05,EC00035
89.02458,C00137,M-2H[2-],50.3,0.000156466769993813,EC00033
186.076,C00140,M-H4O2+H[1+],281.6,2.35332299780566e-05,EC000132
202.072,C00140,M-H2O-H[-],58.5,2.35332299780566e-05,EC000133
204.0868,C00140,M-H2O+H[1+],279.1,0.000223533230013118,EC000132
220.0823,C00140,M-H[-],53.5,0.000323533229988016,EC000133
222.0973,C00140,M+H[1+],157.2,0.000123533229981376,EC000134
241.0563,C00140,M+Na-2H[-],168.2,0.00104706646001773,EC000134
244.0791,C00140,M+Na[1+],160.5,7.64667699968413e-05,EC000134
256.0589,C00140,M+Cl[-],54.8,9.9999999974898e-05,EC000133
258.0558,C00140,M+Cl37[-],54,0,EC000133
260.053,C00140,M+K[1+],162.9,0.000323533230016437,EC000134
266.0877,C00140,M+HCOO[-],52.9,0.000155000000006567,EC000133
115.0402,C00141,M-H[-],58.3,0.00017646676998595,EC000135
115.04021,C00141,M-H[-],246.6,0.000186466769989124,EC000136
116.0435,C00141,M(C13)-H[-],58.6,7.64667699826305e-05,EC000135
